,Date,Predicted
0,2021-04-15,114.49066925048828
1,2021-04-16,114.756103515625
2,2021-04-17,114.86007690429688
3,2021-04-18,114.87406921386719
4,2021-04-19,114.83625793457031
5,2021-04-20,114.76753997802734
6,2021-04-21,114.67990112304688
7,2021-04-22,114.58062744140625
8,2021-04-23,114.51790618896484
9,2021-04-24,114.43907165527344
10,2021-04-25,114.35457611083984
11,2021-04-26,114.2608413696289
12,2021-04-27,114.22119140625
13,2021-04-28,114.14107513427734
14,2021-04-29,114.06732940673828
15,2021-04-30,113.99848937988281
16,2021-05-01,113.96888732910156
17,2021-05-02,113.93399810791016
18,2021-05-03,113.88617706298828
19,2021-05-04,113.84384155273438
20,2021-05-05,113.8055648803711
21,2021-05-06,113.77049255371094
22,2021-05-07,113.73806762695312
23,2021-05-08,113.7078628540039
24,2021-05-09,113.6795654296875
25,2021-05-10,113.65291595458984
26,2021-05-11,113.62770080566406
27,2021-05-12,113.6037368774414
28,2021-05-13,113.58084869384766
29,2021-05-14,113.55892181396484
