,Date,Predicted
0,2021-04-15,309.26611328125
1,2021-04-16,308.8399963378906
2,2021-04-17,308.4990234375
3,2021-04-18,308.1946105957031
4,2021-04-19,307.9053955078125
5,2021-04-20,307.62347412109375
6,2021-04-21,307.3470153808594
7,2021-04-22,307.0766906738281
8,2021-04-23,306.81396484375
9,2021-04-24,306.56036376953125
10,2021-04-25,306.3170166015625
11,2021-04-26,306.0847473144531
12,2021-04-27,305.86395263671875
13,2021-04-28,305.6546936035156
14,2021-04-29,305.4566650390625
15,2021-04-30,305.2695007324219
16,2021-05-01,305.09271240234375
17,2021-05-02,304.92559814453125
18,2021-05-03,304.7674560546875
19,2021-05-04,304.6175842285156
20,2021-05-05,304.4753723144531
21,2021-05-06,304.3400573730469
22,2021-05-07,304.2110900878906
23,2021-05-08,304.08782958984375
24,2021-05-09,303.96978759765625
25,2021-05-10,303.8564758300781
26,2021-05-11,303.7474365234375
27,2021-05-12,303.6423645019531
28,2021-05-13,303.5408935546875
29,2021-05-14,303.44268798828125
