,Date,Predicted
0,2021-04-15,132.71351623535156
1,2021-04-16,133.27297973632812
2,2021-04-17,133.6220245361328
3,2021-04-18,133.8505401611328
4,2021-04-19,134.00677490234375
5,2021-04-20,134.1175079345703
6,2021-04-21,134.1981964111328
7,2021-04-22,134.25833129882812
8,2021-04-23,134.3212127685547
9,2021-04-24,134.3914031982422
10,2021-04-25,134.429443359375
11,2021-04-26,134.46527099609375
12,2021-04-27,134.49961853027344
13,2021-04-28,134.533203125
14,2021-04-29,134.56666564941406
15,2021-04-30,134.6005401611328
16,2021-05-01,134.63514709472656
17,2021-05-02,134.67071533203125
18,2021-05-03,134.7073516845703
19,2021-05-04,134.74508666992188
20,2021-05-05,134.7838592529297
21,2021-05-06,134.8235626220703
22,2021-05-07,134.8640899658203
23,2021-05-08,134.91812133789062
24,2021-05-09,134.96957397460938
25,2021-05-10,135.01841735839844
26,2021-05-11,135.06594848632812
27,2021-05-12,135.11422729492188
28,2021-05-13,135.16285705566406
29,2021-05-14,135.21151733398438
